EnBW mobility+ AG und Co.KG ;Nufringer Straße;2;71116;Gärtringen;Baden-Württemberg;48.62543;8.92365;30
ARAMIS Hotel und Freizeit GmbH;Siedlerstr.; 40-44;71126;Gäufelden;Baden-Württemberg;48.55992217;8.857526122;22
EnBW mobility+ AG und Co.KG ;Hauptstr.;4;71134;Aidlingen;Baden-Württemberg;48.678733;8.898815;22
EnBW mobility+ AG und Co.KG ;Gartenstr.;9;71139;Ehningen;Baden-Württemberg;48.659957;8.943261;30
Lidl Dienstleistung GmbH & Co. KG;Bühlallee;2;71139;Ehningen;Baden-Württemberg;48.661537;8.939208;44
Gmeinde Ehningen;Gartenstraße;9;71139;Ehningen;Baden-Württemberg;48.660051;8.943198;22
Stadtwerke Tübingen GmbH;Weiler Weg;3;71144;Steinenbronn;Baden-Württemberg;48.65751;9.118663;22
Stadtwerke Tübingen GmbH;Stuttgarter Straße;5;71144;Steinenbronn;Baden-Württemberg;48.66068;9.119267;22
Stadtwerke Tübingen GmbH;Goldäckerstraße;69;71144;Steinenbronn;Baden-Württemberg;48.669433;9.124433;22
EnBW mobility+ AG und Co.KG ;Lange Gasse;1;71149;Bondorf;Baden-Württemberg;48.52148;8.835588;30
EnBW mobility+ AG und Co.KG ;Am Römerfeld;1;71149;Bondorf;Baden-Württemberg;48.507589;8.8281793;150
EnBW mobility+ AG und Co.KG ;Am Römerfeld;1;71149;Bondorf;Baden-Württemberg;48.5076234;8.828266;150
EnBW mobility+ AG und Co.KG ;Autobahnraststätte Schönbuch West;0;71154;Nufringen;Baden-Württemberg;48.614545;8.903146;98
EnBW mobility+ AG und Co.KG ;Autobahnraststätte Schönbuch Ost;0;71154;Nufringen;Baden-Württemberg;48.616422;8.908525;98
EnBW mobility+ AG und Co.KG ;Autobahn;0;71154;Nufringen;Baden-Württemberg;48.616312;8.908312;150
Gemeinde Altdorf;Kirchpplatz;4;71155;Altdorf;Baden-Württemberg;48.627736;8.99698;11
Allego GmbH;Breitwiesenstr.;4;71229;Leonberg Ramtal;Baden-Württemberg;48.7852;9.01744;93
ALDI SÜD;Schweizer Mühle;9;71229;Leonberg;Baden-Württemberg;48.798767;8.999774;20
ALDI SÜD;Ulmer Straße;34;71229;Leonberg;Baden-Württemberg;48.788864;9.029108;44
EnBW mobility+ AG und Co.KG ;Steinbeisstraße;1;71229;Leonberg;Baden-Württemberg;48.7976969;9.0045049;98
EnBW mobility+ AG und Co.KG ;Berliner Straße;55;71229;Leonberg;Baden-Württemberg;48.78942;9.01682;22
Autohaus Müller GmbH & Co. KG;Berliner Str.;55;71229;Leonberg;Baden-Württemberg;48.789268;9.017393;88
Kaufland Dienstleistung GmbH & Co. KG;Römerstraße;34;71229;Leonberg;Baden-Württemberg;48.79713;9.0060064;93
Mercedes- Benz AG - Niederlassung Stuttgart;Görlitzer Str.;1;71229;Leonberg;Baden-Württemberg;48.785564;9.019333;44
Mercedes- Benz AG - Niederlassung Stuttgart;Görlitzer Str.;1;71229;Leonberg;Baden-Württemberg;48.785579;9.019265;44
Autohaus Weeber Gmbh & Co. KG;Glemseckstraße;49;71229;Leonberg;Baden-Württemberg;48.787618;9.016143;39.6
deer GmbH;Kirchplatz;2;71263;Weil der Stadt;Baden-Württemberg;48.769109;8.851804;44
deer GmbH;Hermann-Schnaufer-Straße;12;71263;Weil der Stadt;Baden-Württemberg;48.749413;8.873119;44
deer GmbH;Eisenbahnstraße;20;71263;Weil der Stadt;Baden-Württemberg;48.756324;8.873396;44
EnBW mobility+ AG und Co.KG ;Benzstraße;7;71272;Renningen;Baden-Württemberg;48.777416;8.932631;98
Stadtwerke Tübingen GmbH;Weil der Städter Straße;57;71272;Renningen;Baden-Württemberg;48.7629862;8.93189359;78
EnBW mobility+ AG und Co.KG ;Leonberger Straße;15;71277;Rutesheim;Baden-Württemberg;48.808142;8.947375;22
EnBW mobility+ AG und Co.KG ;Pforzheimer Straße;150;71277;Rutesheim;Baden-Württemberg;48.812009;8.922092;300
EnBW mobility+ AG und Co.KG ;Pforzheimer Straße;150;71277;Rutesheim;Baden-Württemberg;48.812009;8.922092;300
EnBW mobility+ AG und Co.KG ;Pforzheimer Straße;150;71277;Rutesheim;Baden-Württemberg;48.812009;8.922092;300
EnBW mobility+ AG und Co.KG ;Pforzheimer Straße;150;71277;Rutesheim;Baden-Württemberg;48.812009;8.922092;300
deer GmbH;Weissacher Straße;38;71287;Weissach;Baden-Württemberg;48.837556;8.913689;44
EnBW mobility+ AG und Co.KG ;Leonberger Str.;27;71287;Weissach;Baden-Württemberg;48.832479;8.912313;30
EnBW mobility+ AG und Co.KG ;Seitenstraße;3;71287;Weissach;Baden-Württemberg;48.833902;8.9134819;30
Stadtwerk am See GmbH & Co. KG;Franziskusplatz;2;88045;Friedrichshafen;Baden-Württemberg;47.653993;9.473777;22
Stadtwerk am See GmbH & Co. KG;Hitzlerstr.;0;88662;Überlingen;Baden-Württemberg;47.768993;9.163404;40
Stadtwerk am See GmbH & Co. KG;Wiestorstr.;25;88662;Überlingen;Baden-Württemberg;47.768975;9.162205;44
Stadtwerk am See GmbH & Co. KG;Nußdorfer Str.;101;88662;Überlingen;Baden-Württemberg;47.754222;9.189806;44
Stadtwerk am See GmbH & Co. KG;Kurt-Wilde-Str.;10;88662;Überlingen;Baden-Württemberg;47.759028;9.186361;44
Stadtwerk am See GmbH & Co. KG;Kurt-Wilde-Str.;10;88662;Überlingen;Baden-Württemberg;47.75902;9.186365;44
Stadtwerk am See GmbH & Co. KG;Bahnhofstr.;26;88662;Überlingen;Baden-Württemberg;47.769319;9.149573;44
Stadtwerk am See GmbH & Co. KG;Bahnhofstr.;26;88662;Überlingen;Baden-Württemberg;47.769332;9.14961;44
EnBW mobility+ AG und Co.KG ;Schlossseeallee;45;88682;Salem;Baden-Württemberg;47.767609;9.295167;30
EnBW mobility+ AG und Co.KG ;Am Schlosssee;1;88682;Salem;Baden-Württemberg;47.76785;9.291221;30
EDEKA Breisach;Ihringer Landstraße;14;79206;Breisach am Rhein;Baden-Württemberg;48.026506;7.590561;44
Energiedienst Holding AG;Dietzelbachstrasse;1;79224;Muenstertal;Baden-Württemberg;47.859005;7.76324;22
Energiedienst Holding AG;Fischerinsel;6;79227;Schallstadt;Baden-Württemberg;47.963948;7.76889;40
Energiedienst Holding AG;Fischerinsel;6;79227;Schallstadt;Baden-Württemberg;47.96395;7.76889;44
Energiedienst Holding AG;Kirchstrasse;16;79227;Schallstadt;Baden-Württemberg;47.96117;7.7646;44
